"det_Name","det_Team","Age","G","AB","PA","wRC+","playerid"
"Todd Frazier","Mets","33","133","447","499","106","785"
"Jason Castro","Twins","32","79","237","275","103","8722"
"Daniel Murphy","Rockies","34","132","438","478","86","4316"
"Ian Desmond","Rockies","33","140","443","482","86","6885"
"Jason Heyward","Cubs","29","147","513","589","101","4940"
"Mike Freeman","Indians","31","75","177","213","99","11241"
"Wilson Ramos","Mets","31","141","473","524","105","1433"
"Nomar Mazara","Rangers","24","116","429","469","94","14553"
"Jon Berti","Marlins","29","73","256","287","104","12037"
"Bryan Holaday","Marlins","31","43","115","129","104","11287"
"Domingo Santana","Mariners","26","121","451","507","107","10348"
"Ehire Adrianza","Twins","29","84","202","236","102","8418"
"Dexter Fowler","Cardinals","33","150","487","574","103","4062"
"Roberto Perez","Indians","30","119","389","449","98","2900"
"Mitch Haniger","Mariners","28","63","246","283","106","14274"
"Aaron Hicks","Yankees","29","59","221","255","102","5297"
"Cesar Puello","- - -","28","44","125","147","104","7216"
"C.J. Cron","Twins","29","125","458","499","101","12546"
"Teoscar Hernandez","Blue Jays","26","125","417","464","102","13066"
"Victor Reyes","Tigers","24","69","276","292","100","15487"
"Jonathan Schoop","Twins","27","121","433","464","100","11265"
"Matt Beaty","Dodgers","26","99","249","268","102","17710"
"Justin Smoak","Blue Jays","32","121","414","500","101","9054"
"Alex Avila","Diamondbacks","32","63","164","201","97","7476"
"Michael Chavis","Red Sox","23","95","347","382","96","17321"
"Myles Straw","Astros","24","56","108","128","104","17620"
"Renato Nunez","Orioles","25","151","541","599","99","14503"
"Jose Martinez","Cardinals","30","128","334","373","101","7996"
"Evan Longoria","Giants","33","129","453","508","101","9368"
"Paul DeJong","Cardinals","25","159","583","664","100","18015"
"Anthony Santander","Orioles","24","93","380","405","97","14551"
"Oscar Mercado","Indians","24","115","438","482","95","16375"
"Austin Slater","Giants","26","68","168","192","100","16153"
"Adam Frazier","Pirates","27","152","554","608","97","15223"
"Hunter Renfroe","Padres","27","140","440","494","98","15464"
"Jose Osuna","Pirates","26","95","261","285","97","12937"
"Neil Walker","Marlins","33","115","337","381","99","7539"
"Brandon Belt","Giants","31","156","526","616","99","10264"
"Sean Rodriguez","Phillies","34","76","112","139","94","6589"
"Alex Gordon","Royals","35","150","556","633","96","5209"
"Chance Sisco","Orioles","24","59","167","198","96","15694"
